	EntityA	EntityB	Effect	Mechanism
1907	TP53	FNTA	up-regulates quantity by expression	transcriptional regulation
1890	TP53	BAX	up-regulates quantity by expression	transcriptional regulation
1920	TP53	PERP	up-regulates quantity by expression	transcriptional regulation
1919	TP53	NOXA1	up-regulates quantity by expression	transcriptional regulation
1918	TP53	NLRC4	up-regulates quantity by expression	transcriptional regulation
1916	TP53	NDRG1	up-regulates quantity by expression	transcriptional regulation
1915	TP53	MMP2	up-regulates quantity by expression	transcriptional regulation
1914	TP53	MLH1	up-regulates quantity	transcriptional regulation
1913	TP53	MGMT	down-regulates quantity by repression	transcriptional regulation
1912	TP53	LRBA	down-regulates quantity by repression	transcriptional regulation
1886	TP53	ABCB1	down-regulates quantity by repression	transcriptional regulation
1887	TP53	AFP	down-regulates quantity by repression	transcriptional regulation
1888	TP53	AIFM2	up-regulates quantity by expression	transcriptional regulation
1934	TP63	PERP	up-regulates quantity by expression	transcriptional regulation
13805	TP63	SUN1	up-regulates quantity by expression	transcriptional regulation
13806	TP63	PLEC	up-regulates quantity by expression	transcriptional regulation
13807	TP63	SYNE3	up-regulates quantity by expression	transcriptional regulation
1936	TP73	BBC3	up-regulates quantity by expression	transcriptional regulation
1937	TP73	CDKN1A	up-regulates quantity by expression	transcriptional regulation
5500	TP73	PMAIP1	up-regulates quantity by expression	transcriptional regulation
2042	TRPS1	GDF5	down-regulates quantity by repression	transcriptional regulation
2129	TWIST1	SNAI2	up-regulates quantity by expression	transcriptional regulation
5533	TWIST1	MMP2	up-regulates quantity by expression	transcriptional regulation
2108	TWIST1	AKR1C2	up-regulates quantity by expression	transcriptional regulation
2109	TWIST1	ATM	up-regulates quantity by expression	transcriptional regulation
2110	TWIST1	CD44	up-regulates quantity by expression	transcriptional regulation
2111	TWIST1	CDH1	down-regulates quantity by repression	transcriptional regulation
2113	TWIST1	CTPS1	up-regulates quantity by expression	transcriptional regulation
2114	TWIST1	F2R	down-regulates quantity by repression	transcriptional regulation
2115	TWIST1	FAP	up-regulates quantity by expression	transcriptional regulation
2116	TWIST1	FN1	up-regulates quantity by expression	transcriptional regulation
2117	TWIST1	FOS	up-regulates quantity by expression	transcriptional regulation
5532	TWIST1	ITGB1	up-regulates quantity by expression	transcriptional regulation
2118	TWIST1	GDF15	up-regulates quantity by expression	transcriptional regulation
2120	TWIST1	ICAM1	up-regulates quantity by expression	transcriptional regulation
2121	TWIST1	ILK	down-regulates quantity by repression	transcriptional regulation
2122	TWIST1	MYB	down-regulates quantity by repression	transcriptional regulation
2124	TWIST1	NR2F1	up-regulates quantity by expression	transcriptional regulation
2125	TWIST1	PFDN4	down-regulates quantity by repression	transcriptional regulation
2126	TWIST1	RAP1A	down-regulates quantity by repression	transcriptional regulation
2127	TWIST1	RBL2	down-regulates quantity by repression	transcriptional regulation
2128	TWIST1	RUNX2	down-regulates quantity by repression	transcriptional regulation
2130	TWIST1	SRPX	down-regulates quantity by repression	transcriptional regulation
2119	TWIST1	HGF	up-regulates quantity by expression	transcriptional regulation
2123	TWIST1	NF1	down-regulates quantity by repression	transcriptional regulation
5534	TWIST2	ERBB3	down-regulates quantity by repression	transcriptional regulation
2134	TWIST2	CDH1	down-regulates quantity by repression	transcriptional regulation
2147	TWIST2	RBL2	down-regulates quantity by repression	transcriptional regulation
2149	TWIST2	SRPX	down-regulates quantity by repression	transcriptional regulation
2148	TWIST2	RUNX2	down-regulates quantity by repression	transcriptional regulation
2146	TWIST2	RAP1A	down-regulates quantity by repression	transcriptional regulation
2144	TWIST2	NR2F1	up-regulates quantity by expression	transcriptional regulation
2143	TWIST2	NF1	down-regulates quantity by repression	transcriptional regulation
2142	TWIST2	MYB	down-regulates quantity by repression	transcriptional regulation
2141	TWIST2	ITGB1	up-regulates quantity by expression	transcriptional regulation
2140	TWIST2	ILK	down-regulates quantity by repression	transcriptional regulation
2139	TWIST2	ICAM1	up-regulates quantity by expression	transcriptional regulation
2145	TWIST2	PFDN4	down-regulates quantity by repression	transcriptional regulation
2137	TWIST2	FOS	up-regulates quantity by expression	transcriptional regulation
2136	TWIST2	F2R	down-regulates quantity by repression	transcriptional regulation
2135	TWIST2	CTPS1	up-regulates quantity by expression	transcriptional regulation
2133	TWIST2	CD44	up-regulates quantity by expression	transcriptional regulation
2132	TWIST2	ATM	up-regulates quantity by expression	transcriptional regulation
2131	TWIST2	AKR1C2	up-regulates quantity by expression	transcriptional regulation
2138	TWIST2	GDF15	up-regulates quantity by expression	transcriptional regulation
2278	USF1	S100A6	up-regulates quantity by expression	transcriptional regulation
2277	USF1	POMC	up-regulates quantity by expression	transcriptional regulation
2276	USF1	MYH9	up-regulates quantity by expression	transcriptional regulation
2275	USF1	FMR1	up-regulates quantity by expression	transcriptional regulation
2274	USF1	CTSD	up-regulates quantity by expression	transcriptional regulation
2273	USF1	CEBPA	up-regulates quantity by expression	transcriptional activation
2270	USF1	ADAM10	up-regulates quantity by expression	transcriptional regulation
2271	USF1	B2M	up-regulates quantity by expression	transcriptional regulation
5564	USF1	GCK	up-regulates quantity by expression	transcriptional regulation
5563	USF1	GATA5	up-regulates quantity by expression	transcriptional regulation
2272	USF1	CBS	up-regulates quantity by expression	transcriptional regulation
2281	USF2	FMR1	up-regulates quantity by expression	transcriptional regulation
2279	USF2	B2M	up-regulates quantity by expression	transcriptional regulation
2280	USF2	CTSD	up-regulates quantity by expression	transcriptional regulation
2282	USF2	MYH9	up-regulates quantity by expression	transcriptional regulation
2360	VDR	CYP3A4	up-regulates quantity by expression	transcriptional regulation
2361	VDR	HLA-DRB1	up-regulates quantity by expression	transcriptional regulation
2359	VDR	CYP24A1	down-regulates quantity by repression	transcriptional regulation
2628	WT1	AREG	up-regulates quantity by expression	transcriptional regulation
2629	WT1	DNMT3A	up-regulates quantity by expression	transcriptional activation
2630	WT1	NPHS1	up-regulates quantity by expression	transcriptional regulation
2631	WT1	PAX2	down-regulates quantity by repression	transcriptional regulation
2632	WT1	PODXL	up-regulates quantity by expression	transcriptional regulation
2635	WT1	REN	down-regulates quantity by repression	transcriptional regulation
2636	WT1	SOD1	up-regulates quantity by expression	transcriptional regulation
2677	XBP1	NPPB	up-regulates quantity by expression	transcriptional regulation
5630	YBX1	NDRG1	up-regulates quantity by expression	transcriptional regulation
2724	YBX1	ABCB1	down-regulates quantity by repression	transcriptional regulation
2725	YBX1	CDH1	up-regulates quantity by expression	transcriptional regulation
2726	YBX1	TYMS	down-regulates quantity by repression	transcriptional regulation
5628	YBX1	CXCR4	up-regulates quantity by expression	transcriptional regulation
5629	YBX1	MMP13	down-regulates quantity by repression	transcriptional regulation
5627	YBX1	ABCB1	up-regulates quantity by expression	transcriptional regulation
2750	YY1	FCER1A	up-regulates quantity by expression	transcriptional regulation
2746	YY1	ACTC1	down-regulates quantity by repression	transcriptional regulation
2747	YY1	ATP2C1	up-regulates quantity by expression	transcriptional regulation
2749	YY1	COX7C	up-regulates quantity by expression	transcriptional regulation
2748	YY1	ATP6V1A	up-regulates quantity by expression	transcriptional regulation
2753	YY1	HSD3B2	up-regulates quantity by expression	transcriptional regulation
5635	YY1	SURF1	up-regulates quantity by expression	transcriptional regulation
2751	YY1	GDAP1	up-regulates quantity by expression	transcriptional regulation
2752	YY1	HOXB13	down-regulates quantity by repression	transcriptional regulation
2757	YY1	POSTN	down-regulates quantity by repression	transcriptional regulation
2754	YY1	HSPA5	up-regulates quantity by expression	transcriptional regulation
2786	ZBED1	GATA4	down-regulates quantity by repression	transcriptional regulation
5641	ZBTB14	MYC	down-regulates quantity by repression	transcriptional regulation
2789	ZBTB16	miR-146a	down-regulates quantity by repression	transcriptional regulation
2791	ZBTB16	RSAD2	up-regulates quantity by expression	transcriptional regulation
2796	ZBTB7A	CDKN2A	down-regulates quantity by repression	transcriptional regulation
2810	ZEB1	EPCAM	down-regulates quantity by repression	transcriptional regulation
2811	ZEB1	GRHL2	down-regulates quantity by repression	transcriptional regulation
2809	ZEB1	CDH1	down-regulates quantity by repression	transcriptional regulation
5642	ZEB2	CDH1	down-regulates quantity by repression	transcriptional regulation
2813	ZFHX3	AFP	down-regulates quantity by repression	transcriptional regulation
2819	ZFPM1	GATA2	down-regulates quantity by repression	transcriptional regulation
2843	ZNF148	SOX18	down-regulates quantity by repression	transcriptional regulation
2844	ZNF202	POMGNT1	down-regulates quantity by repression	transcriptional regulation
5648	ZNF224	ALDOA	down-regulates quantity by repression	transcriptional regulation
2846	ZNF239	RBP3	down-regulates quantity by repression	transcriptional regulation
2849	ZNF503	CDH1	down-regulates quantity	transcriptional repression
2850	ZNF503	GATA3	down-regulates quantity by repression	transcriptional repression
